Year,MDV,PNG,PNG_2011,MDV_2011
1960,,1318.802869,1251.236118,
1961,,1365.920892,1295.940126,
1962,,1420.271287,1347.505965,
1963,,1445.720636,1371.651457,
1964,,1536.297656,1457.587909,
1965,,1658.398858,1573.433451,
1966,,1716.718721,1628.76539,
1967,,1747.246755,1657.729369,
1968,,1782.95799,1691.610996,
1969,,1886.343592,1789.699802,
1970,,2042.039528,1937.418907,
1971,,2119.285454,2010.707262,
1972,,2186.245809,2074.237011,
1973,,2275.438127,2158.859703,
1974,,2282.587654,2165.642936,
1975,,2212.994953,2099.615705,
1976,,2092.060655,1984.877282,
1977,,2064.88854,1959.097286,
1978,,2194.768008,2082.322588,
1979,,2189.213931,2077.053066,
1980,,2095.466357,1988.108498,
1981,,2047.317448,1942.426421,
1982,,2012.50897,1909.401299,
1983,,2034.356838,1930.129827,
1984,,1984.616001,1882.937383,
1985,,2020.232364,1916.728998,
1986,,2069.813162,1963.769603,
1987,,2081.411753,1974.773959,
1988,,2095.798973,1988.424073,
1989,,2019.688442,1916.212943,
1990,,1907.733963,1809.994273,
1991,,2023.872098,1920.182256,
1992,,2223.031646,2109.138184,
1993,,2532.804363,2403.040192,
1994,,2586.80075,2454.270161,
1995,5451.605473,2411.858041,2288.290361,5172.301208
1996,5754.489423,2506.381843,2377.971389,5459.667384
1997,6117.208149,2323.773732,2204.718911,5803.802798
1998,6461.450135,2158.560736,2047.970338,6130.408098
1999,6754.04394,2123.186914,2014.408836,6408.011328
2000,6904.652322,1999.969609,1897.504373,6550.903531
2001,6521.166294,1930.874119,1831.948879,6187.064795
2002,6876.443583,1864.302423,1768.787877,6524.140022
2003,7691.901693,1842.613214,1748.20988,7297.819443
2004,8023.495653,1831.94381,1738.087106,7612.424718
2005,6859.230148,1886.527776,1789.87455,6507.808489
2006,8447.145278,1926.513509,1827.811678,8014.369334
2007,8798.60457,2013.196285,1910.053401,8347.822173
2008,9296.989646,1946.228756,1846.516847,8820.673288
2009,8324.591977,2016.184883,1912.888883,7898.094855
2010,8619.748373,2154.694714,2044.302385,8178.129386
2011,9036.651162,2116.224714,2007.803334,8573.672829
2012,8951.006145,2154.100198,2043.738328,8492.415697
2013,9286.68454,2177.070914,2065.532176,8810.896148
2014,9584.443372,2408.108596,2284.733013,9093.399784
2015,9434.31191,2502.073746,2373.88401,8950.960066
2016,9619.954605,2575.067822,2443.138351,9127.091656
2017,9916.451756,2603.015347,2469.654029,9408.398251
2018,10342.88912,2536.083493,2406.151322,9812.987781
2019,10753.12132,2590.494236,2457.774418,10202.20239
2020,7013.55575,2455.145638,2329.360188,6654.227467
2021,9807.557189,2408.24912,2284.866338,9305.082722
2022,10964.8427,2471.049751,2344.449479,10403.07657